
1000រៀល	ត្រូវនឹងលុយដុល្លារ 0.25ដុល្លារ
123រៀល	ត្រូវនឹងលុយដុល្លារ 0.03ដុល្លារ
123រៀល	ត្រូវនឹងលុយដុល្លារ 0.03ដុល្លារ
123រៀល	ត្រូវនឹងលុយដុល្លារ 0.03ដុល្លារ
12313រៀល	ត្រូវនឹងលុយដុល្លារ 3.08ដុល្លារ
111111រៀល	ត្រូវនឹងលុយដុល្លារ 27.78ដុល្លារ
111111រៀល	ត្រូវនឹងលុយដុល្លារ 27.78ដុល្លារ
111111រៀល	ត្រូវនឹងលុយដុល្លារ 27.78ដុល្លារ
111111រៀល	ត្រូវនឹងលុយដុល្លារ 27.78ដុល្លារ
111111រៀល	ត្រូវនឹងលុយដុល្លារ 27.78ដុល្លារ
111111រៀល	ត្រូវនឹងលុយដុល្លារ 27.78ដុល្លារ
111រៀល	ត្រូវនឹងលុយដុល្លារ 0.03ដុល្លារ
111រៀល	ត្រូវនឹងលុយដុល្លារ 0.03ដុល្លារ
100រៀល	ត្រូវនឹងលុយដុល្លារ 0.03ដុល្លារ
10000000រៀល	ត្រូវនឹងលុយដុល្លារ 2500.00ដុល្លារ
